Code,Title,points_r1_2021,points_r2_2021,points_r1_2020,points_r2_2020,EOS,Mid
CW527,Electronic Engineering,,,227,,,
CW547,TV and Media Production,,,301,,,
CW706,Legal Studies,,,163,,,
CW707,Industrial Design,,,207,,,
CW717,Professional Social Care Practice,,,288,,,
CW807,Sport Coaching and Business Management - GAA (portfolio),,,700,,,
CW817,Sport Coaching and Business Management - Rugby (portfolio),,,700,,,
CW827,Sport Coaching and Business Management - Soccer (portfolio),,,700,,,
CW837,Digital Marketing with Analytics,,,200,,,
CW906,Business,,,177,,,
CW917,Business (options),,,224,,,
CW926,Business with Law,,,210,,,
CW936,Accounting,,,231,,,
DB516,Financial Services,,,,,328,336
DB528,Applied Social Care,,,,,,
DB534,Sound Engineering and Music Production,,,,,,
DB563,Arts,,,161,189,,
DB571,Business Studies,,,173,211,,
DB572,Business in Accounting,,,119,117,,
DB573,Business in Marketing,,,117,146,,
DB574,Business in Information Technology,,,136,388,,
DB576,Film and Creative Media,,,,,,
DC201,Common Entry into Science (Undenominated Entry),,,498,488,454,477
DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",,,430,,,
DK710,Business and Management,,,120,120,,
DK711,Business and Technology,,,191,,,
DK712,Digital Marketing and Public Relations,,,100,100,,
DK721,Computing,,,106,106,,
DK722,Augmented and Virtual Reality,,,144,144,,
DK730,Building Surveying,,,165,,,
DK731,Architectural Technology,,,332,,,
DK732,Construction Management,,,120,,,
DK740,Engineering - Electrical and Electronic Systems,,,179,179,,
DK742,Engineering - Mechanical Engineering,,,166,166,,
DK744,Engineering - Civil Engineering,,,190,157,,
DK750,Hospitality Management,,,176,176,,
DK752,Event Management,,,175,175,,
DK753,Culinary Arts,,,182,182,,
DK763,"Sport, Exercise and Enterprise",,,233,,,
DK767,Community Youth Work (interview),,,240,240,,
DK768,Audio and Music Production,,,261,,,
DK769,Creative Media,,,165,165,,
DK770,Theatre & Film Practice,,,190,190,,
DK771,Musical Theatre (audition),,,,,,
DK781,Science - Bioscience,,,358,328,,
DK783,Science - Pharmaceutical Science,,,349,317,,
DK784,Veterinary Nursing,,,399,,,
DK860,Music (audition),,,532,532,499,649
DL701,Business - Applied Entrepreneurship,,,,,,
DL821,"English, Media and Cultural Studies",,,212,212,211,317
DL828,"3D Design, Modelmaking and Digital Art",,,506,,691,866
DL829,Design for Stage and Screen (Costume Design),,,593,,817,1021
DL830,Design for Stage and Screen (Character Makeup Design),,,939,,879,953
DL831,Design for Stage and Screen (Production Design),,,781,,893,1073
DL834,Film and Television Production,,,990,,933,1011
DN252,Dairy Business,,,410,,398,428
DN253,Agri - Environmental Sciences,,,418,,403,419
DN271,Forestry,,,311,,303,361
DN272,"Horticulture, Landscape and Sportsturf Management",,,297,282,252,312
DS602,Computing and Multimedia (Level 6 - Higher Certificate),,,,,,
DS603,Computing and Multimedia (Level 6 - Certificate),,,,,,
DS701,Business,,,,,,
DS702,Computing and Multimedia (Level 7),,,,,,
GA160,Business,,,163,163,,
GA170,Business,,,250,,,
GA171,Business Information Systems,,,250,,,
GA172,Rural Enterprise and Agri-Business,,,277,,,
GA174,Marketing and Sales,,,281,,,
GA175,Finance,,,278,,,
GA176,Business with Entrepreneurship,,,278,,,
GA272,Heritage Studies,,,188,188,,
GA273,Contemporary Art,,,702,,,
GA274,Design,,,251,,,
GA360,Business in Tourism,,,172,172,,
GA361,Culinary Arts,,,193,,,
GA362,Hotel and Hospitality Operations,,,240,228,,
GA364,Heritage Studies,,,252,252,,
GA370,Hotel and Catering Management,,,198,,,
GA376,Event Management with Public Relations,,,206,187,,
GA377,International Tourism Management,,,172,,,
GA378,Culinary and Gastronomic Science,,,219,,,
GA470,Construction Management,,,244,243,,
GA471,Quantity Surveying and Construction Economics,,,200,,,
GA472,Architectural Technology,,,226,,,
GA473,Civil Engineering,,,241,,,
GA570,Software and Electronic Engineering,,,224,,,
GA670,Mechanical Engineering,,,265,,,
GA673,Energy Engineering,,,260,,,
GA674,Biomedical Engineering,,,298,,,
GA675,Agricultural Engineering,,,298,,,
GA676,Engineering (Common Entry to Manu/Agri/Biomed/Energy/Mech Eng),,,290,,,
GA677,Manufacturing Engineering Design,,,235,,,
GA770,Applied Freshwater and Marine Biology,,,280,,,
GA771,Applied Biology and Biopharmaceutical Science,,,280,,,
GA772,Chemical and Pharmaceutical Science,,,280,,,
GA773,Physics and Instrumentation,,,299,,,
GA774,Science (Undenominated),,,289,,,
GA775,Computing in Software Development,,,260,,,
GA776,Computing and Digital Media,,,241,,,
GA777,Agriculture and Environmental Management,,,281,,,
GA862,History & Geography,,,178,,,
GA864,Early Childhood Education and Care,,,214,204,,
GA870,Outdoor Education and Leisure,,,182,171,,
GA871,Early Childhood Education and Care,,,190,,,
GA872,Culture and Environment,,,196,,,
GA879,Applied Social Care,,,244,,,
GA974,"Furniture Design, Making and Technology - Common Entry",,,214,,,
GB001,Business,,,,,,
GC250,Communications and Media Production,,,,,,
GC305,International Hospitality Management,,,253,253,327,327
GC306,International Hospitality Management,,,253,253,,
GC335,Computing,,,217,195,,
GC410,Marketing,,,145,,,
GC411,Business,,,135,135,,
GC435,Computing,,,,,,
GC460,Music Production for Games (portfolio),,,,,,
GC465,Communications,,,,,,
GC466,Film and TV Production,,,,,,
GC470,Photographic Media,,,169,169,,
GC475,Photography,,,150,150,,
GC490,Interior Design,,,117,117,,
GC495,Fashion,,,129,129,,
GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),,,409,,330,397
GY112,Arts with Film Studies,,,321,,338,370
GY120,"Arts (Child, Youth and Family: Policy and Practice)",,,350,,309,346
GY121,Arts (Children`s Studies),,,356,,356,389
GY124,Arts (Arts with Data Science),,,454,,434,466
GY126,Arts (English and Media Studies),,,391,,418,451
GY131,Arts (History and Globalisation Studies),,,360,,340,431
LC221,Accounting and Finance,,,241,,,
LC222,Marketing and Management,,,270,,,
LC228,Sports Development and Coaching,,,205,,,
LC230,Business with Computing,,,217,,,
LC235,Internet Systems Development,,,205,,,
LC251,Civil Engineering,,,206,,,
LC257,Interior Design,,,264,,,
LC260,Applied Biology,,,326,,,
LC267,Forensic and Pharmaceutical Sciences,,,329,,,
LC268,Medical Technology,,,289,,,
LC270,Music Technology and Production,,,307,,,
LC271,Electrical Engineering,,,261,,,
LC276,Creative Broadcast and Film Production,,,297,,,
LC277,Industrial Automation and Robotic Systems,,,232,,,
LC278,Renewable and Electrical Energy Engineering,,,280,,,
LC279,Electronic Engineering,,,214,,,
LC281,Automobile Technology,,,208,,,
LC283,Precision Engineering,,,227,,,
LC284,"Agricultural Mechanisation at Salesian Agricultural College,Pallaskenry",,,200,,,
LC285,Mechanical Engineering,,,272,,,
LC286,Road Transport Technology and Management,,,264,,,
LC290,Community Sport Development,,,188,,,
LC336,Computing,,,207,,,
LC398,Culinary Arts,,,163,,,
LC399,Hospitality Supervision,,,148,,,
LC401,Early Childhood Education and Care,,,297,,298,387
LC414,Data Analytics and Cyber Security,,,236,,,
LC415,Business,,,197,,,
LC423,Sports Strength and Conditioning,,,157,,,
LC425,Environmental Science,,,278,,,
LC428,Environmental Science and Agriculture,,,278,,,
LC432,Early Childhood Education and Care,,,144,,,
LC434,Environmental Science and Agriculture,,,297,,278,347
LC504,Creative Media and Design,,,192,,,
LC602,Social Care Work,,,260,,,
LC603,Early Childhood Education and Care,,,147,,,
LC605,Business,,,195,,,
LC613,Early Childhood Education and Care,,,242,,346,388
LM180,Equine Science,,,337,,,
LY107,Business - Common Entry,,,161,161,,
LY206,Sports Studies,,,149,148,,
LY207,Law with Criminal Justice,,,160,160,,
LY317,Culinary Arts,,,229,224,,
LY327,Hospitality And Tourism - Common Entry,,,170,170,,
LY427,Digital Film and Video,,,172,170,,
LY437,Animation,,,198,223,,
LY447,Fashion with Promotion,,,266,279,,
LY457,Graphic and Digital Design,,,179,204,,
LY507,Quantity Surveying,,,181,181,,
LY527,Civil Engineering,,,165,163,,
LY607,Electronic Engineering,,,160,,,
LY617,Mechanical Engineering,,,180,180,,
LY707,Computer Games Development,,,204,,,
LY717,Computing,,,164,160,,
LY737,Computer Security and Digital Forensics,,,169,169,,
LY806,Pharmacy Technician,,,232,,,
LY816,Dental Nursing,,,233,223,,
LY817,Bioscience,,,248,,,
LY826,Health Science with Physiotherapy Studies,,,456,401,,
LY836,Health Science with Occupational Therapy Studies,,,473,408,,
LY837,Food Science and Nutrition,,,194,194,,
LY846,Health Science with Dietetics Studies,,,316,316,,
LY847,Veterinary Nursing,,,367,367,,
LY867,Pharmaceutical & Medicinal Science,,,163,163,,
LY877,Agriculture,,,202,181,,
LY906,"Early Childhood Care, Health and Education",,,205,161,,
LY916,Health and Social Care,,,181,,,
MH405,Equine Business,,,357,,357,398
NC102,Computing,,,220,,,
NC103,Business,,,250,,,
NC104,Business Computing,,,243,,,
NM701,Montessori Education,,,187,,,
PC402,Arts and Humanities,,,200,121,,
PC404,Applied Social Studies - Professional Social Care,,,217,197,,
SG101,Business,,,160,160,,
SG102,Computing (Level 6 - General Entry),,,254,,,
SG131,Computing - Games Development,,,280,,,
SG134,Applied Sport with Business,,,215,,,
SG135,Business in Tourism with Event Management,,,187,,,
SG136,Computing - Software Development,,,272,,,
SG137,Computing (Computer Networks and Cloud Infrastructure),,,324,,,
SG138,Computing (Level 7 - General Entry),,,260,,,
SG142,Business in International Marketing and Languages (French),,,279,,270,388
SG144,Business in International Marketing and Languages (Spanish),,,270,,280,388
SG231,Fine Art,,,449,449,,
SG232,Creative Design,,,273,,,
SG235,Performing Arts (Theatre Design),,,319,,,
SG236,Performing Arts (Acting),,,235,,,
SG250,Application Design and User Experience,,,412,,290,431
SG251,Computing (Smart Technologies),,,327,,303,391
SG300,Engineering (General Entry),,,209,,,
SG302,Construction Economics,,,184,,,
SG308,Applied Construction Technology,,,171,,,
SG330,Engineering (General Entry),,,243,,,
SG331,Interior Architecture and Design,,,236,,,
SG332,Advanced Wood and Sustainable Building Technology,,,208,,,
SG333,Mechanical Engineering,,,216,,,
SG334,Mechatronic Engineering,,,290,,,
SG336,Precision Engineering and Design,,,309,,,
SG338,Civil Engineering,,,245,,,
SG339,Quantity Surveying,,,195,,,
SG401,Science,,,209,209,,
SG404,Environmental Science with Ecology (Level 6),,,264,264,,
SG406,Health and Exercise Science,,,367,,,
SG431,Pharmaceutical Science with Drug Development,,,269,,,
SG433,Occupational Safety and Health,,,223,,,
SG434,Human Nutrition,,,280,,,
SG435,Health Science and Physiology,,,289,,,
SG436,Biomedical Science,,,262,,,
SG437,Forensic Investigation and Analysis,,,243,,,
SG439,Environmental Science with Ecology (Level 7),,,254,,,
SG530,Health and Medical Information Science (Online),,,285,285,,
SG535,Business Administration,,,228,,,
SG536,Business,,,223,,,
SG537,Marketing and Sales,,,234,,,
TL620,Culinary Arts,,,189,189,,
TL651,Science (Biological and Environmental Studies),,,223,223,,
TL652,Pharmacy Technician,,,260,,,
TL701,"Animation, Visual Effects and Motion Design (Level 7)",,,228,,,
TL702,"TV, Radio and New Media (Level 7)",,,243,,,
TL710,Computing with Software Development,,,232,,,
TL711,Computing with Games Development,,,224,,,
TL715,Computing (Degree Award options),,,251,,,
TL716,Computer Systems and Networking,,,269,,,
TL731,Business (Major Specialism in: Acctng or Mktg or Mgmnt),,,219,,,
TL743,Agricultural Mechanisation,,,,,,
TL744,Agricultural Engineering,,,243,,,
TL745,Civil and Environmental Engineering,,,261,261,,
TL747,Engineering in Mechanical and Manufacturing Engineering,,,200,,,
TL748,Agricultural Science,,,249,,,
TL755,Pharmaceutical Science (Degree Award options),,,261,,,
TL758,Animal Bioscience,,,251,,,
TL771,Health and Leisure (Degree Award Options),,,208,,,
TL772,Health and Leisure with Massage,,,218,,,
TL773,Coaching and Sports Performance,,,106,106,,
TL780,Early Childhood Care and Education,,,234,,,
TL781,Social Care,,,225,,,
TR012,History and Political Science,,,555,554,532,557
TR017,Law and Business,,,602,,576,589
TR020,Law and Political Science,,,602,,567,600
TR029,Political Science and Geography,,,526,520,477,500
TR082,Computer Science and Business,,,555,,510,542
TR083,Sociology and Social Policy,,,498,487,451,474
TR111,Ancient History and Archaeology/Geography,,,352,,,
TR112,Ancient History and Archaeology/History,,,529,,,
TR113,Ancient History and Archaeology/History of Art and Architecture,,,337,,,
TR114,Ancient History and Archaeology/Modern Language,,,337,,,
TR117,Ancient History and Archaeology/Religion,,,342,,,
TR166,Classical Civilisation/English Literature,,,498,496,,
TR173,Classical Civilisation/History of Art and Architecture,,,335,,,
TR177,Classical Civilisation/Modern Language,,,335,,,
TR179,Classical Civilisation/Philosophy,,,499,,,
TR198,Economics/Geography,,,534,,,
TR202,Economics/History,,,534,,,
TR207,Economics/Mathematics,,,566,,,
TR208,Economics/Modern Language,,,534,,,
TR209,Economics/Philosophy,,,534,,,
TR212,Economics/Sociology,,,534,,,
TR228,Classical Languages/English Literature,,,498,,,
TR231,Classical Languages/History of Art and Architecture,,,349,,,
TR233,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",,,349,,,
TR239,Classical Languages/Modern Language,,,349,,,
TR262,English Literature/History,,,529,,,
TR263,English Literature/History of Art and Architecture,,,498,497,,
TR269,English Literature/Philosophy,,,499,,,
TR272,English Literature/Sociology,,,498,,,
TR276,English Literature/Drama Studies,,,498,,,
TR277,English Literature/Modern Language,,,498,495,,
TR311,Film/Drama Studies,,,521,,,
TR312,Film/English Literature,,,521,,,
TR320,Film/Music,,,521,,,
TR322,Geography/History,,,529,,,
TR323,Drama Studies/Modern Language,,,473,,,
TR324,Film/Modern Language,,,521,,,
TR325,Film/History,,,529,,,
TR326,Geography/Modern Language,,,352,,,
TR332,Geography/Sociology,,,498,496,,
TR443,History/History of Art and Architecture,,,529,,,
TR447,History/Modern Language,,,529,,,
TR449,History/Philosophy,,,529,,,
TR452,History/Sociology,,,529,,,
TR454,History/Religion,,,529,,,
TR455,History of Art and Architecture/Modern Language,,,334,,,
TR479,History of Art and Architecture/Philosophy,,,499,,,
TR547,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",,,337,,,
TR548,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",,,335,,,
TR554,"Middle Eastern,Jewish and Islamic Civilisations/History",,,529,,,
TR563,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",,,335,,,
TR564,"Middle Eastern,Jewish and Islamic Civilisations/Music",,,,,,
TR565,"Middle Eastern,Jewish and Islamic Civilisations/Religion",,,342,,,
TR597,Mathematics/Modern Language,,,566,,,
TR598,Mathematics/Music,,,566,,,
TR599,Mathematics/Philosophy,,,566,,,
TR629,Music/Philosophy,,,499,,,
TR635,Music/Drama Studies,,,473,,,
TR636,Music/Modern Language,,,388,,,
TR638,Music/Religion,,,388,,,
TR639,Philosophy/Modern Language,,,499,,,
TR662,Philosophy/Sociology,,,499,,,
TR663,Religion/Classical Civilisation,,,342,,,
TR664,Religion/English Literature,,,498,,,
TR665,Religion/History of Art and Architecture,,,342,,,
TR666,Religion/Modern Language,,,,,,
TR667,French/Modern Language,,,403,,,
TR668,German/Modern Language,,,389,,,
TR669,Irish/Modern Language,,,368,,,
TR670,Italian/Modern Language,,,381,,,
TR671,Russian/Modern Language,,,332,,,
TR672,Spanish/Modern Language,,,336,,,
TR755,Sociology/Drama Studies,,,498,,,
TR756,Sociology/Modern Language,,,498,495,,
TR801,Dental Nursing,,,436,419,,
TR802,Dental Hygiene,,,543,511,,
TR803,Dental Technology,,,531,486,,
TU601,Electronic Engineering,,,232,,,
TU602,Computer Engineering,,,223,,,
TU603,Mechanical Engineering,,,197,197,,
TU641,Bar and Restaurant Management,,,223,,,
TU642,Culinary Arts,,,153,,,
TU643,Culinary Arts (Professional Cookery Practice),,,236,,,
TU644,Food Management and Entrepreneurship,,,223,,,
TU645,Food Science and Management,,,241,,,
TU651,Applied Biology,,,205,196,,
TU652,Computing,,,194,,,
TU653,Computing (Information Technology),,,245,,,
TU654,Pharmacy Technician Studies,,,321,,,
TU655,Computing (Networking Technologies) Learn and Work,,,410,335,,
TU671,Business,,,226,,,
TU672,Business (Common entry),,,180,179,,
TU673,Business Management,,,300,,,
TU674,Business Studies,,,300,,,
TU675,Marketing,,,301,,,
TU676,Retail Management and Marketing,,,290,,,
TU701,Automation Engineering,,,260,,,
TU702,Biomedical Design,,,232,232,,
TU703,Building Engineering,,,260,,,
TU704,Civil Engineering,,,262,,,
TU705,Electrical and Control Engineering,,,243,,,
TU706,Electrical Services Engineering,,,244,,,
TU707,Electronic Engineering,,,224,224,,
TU708,Engineering (Common Entry with Award options),,,225,,,
TU709,Engineering (General Entry),,,370,,,
TU710,Engineering Reliability Management,,,244,,,
TU711,Mechatronic Engineering,,,223,,,
TU712,Sustainable Energy and Environmental Engineering,,,180,180,,
TU713,Computer Engineering,,,221,,,
TU714,Electronics and Communications Engineering,,,264,,,
TU715,Engineering Software,,,181,181,,
TU716,Networking Technology,,,241,,,
TU717,Mechanical Engineering,,,300,,,
TU718,Mechanical Engineering,,,198,198,,
TU719,"Design,Technology and Innovation",,,228,,,
TU720,Automotive Management and Technology,,,232,,,
TU721,Aviation Technology,,,350,,,
TU722,Process Instrumentation and Automation Learn and Work,,,292,292,,
TU731,"Auctioneering, Valuation and Estate Agency",,,290,,,
TU732,Timber Product Technology,,,253,198,,
TU735,Sports Management and Coaching,,,270,,,
TU736,Sports Science and Health,,,410,391,,
TU741,Baking and Pastry Arts Management,,,234,,,
TU742,Culinary Arts,,,155,155,,
TU745,Hospitality Management,,,245,,,
TU746,International Hospitality and Tourism Management,,,170,170,,
TU747,Tourism Management,,,242,,,
TU751,Biosciences,,,407,,,
TU752,DNA and Forensic Analysis,,,390,,,
TU754,Industrial and Environmental Physics,,,270,,,
TU755,Science (General Entry),,,361,,,
TU756,Computing,,,200,195,,
TU757,Computing (Information Technology),,,225,,,
TU758,Digital Forensics and Cyber Security,,,220,,,
TU759,Information Technology Management,,,211,,,
TU760,Bioanalysis,,,204,204,,
TU761,Ophthalmic Dispensing,,,302,,,
TU762,Medicinal Chemistry and Pharmaceutical Sciences,,,364,,,
TU763,Pharmaceutical Science,,,382,349,,
TU771,Business,,,224,,,
TU772,Business (Common Entry with Award options),,,,227,,
TU774,Management,,,195,209,,
TU775,Accounting and Finance,,,260,,,
TU776,Accounting and Finance,,,182,175,,
TU777,Business and Information Technology,,,244,,,
TU778,International Business,,,224,,,
TU779,International Business,,,180,180,,
TU780,Advertising and Marketing Communications,,,179,179,,
TU781,Digital Marketing,,,220,,,
TU782,Digital Marketing,,,179,179,,
TU783,Marketing,,,189,189,,
TU791,Applied Social Studies in Social Care,,,320,,,
TU792,Community and Youth Development,,,101,250,,
TU793,Early Childhood Care and Education,,,220,,,
TU794,Early Childhood Care and Education,,,390,250,,
TU795,Visual Merchandising and Display,,,481,,,
TU796,Creative Digital Media,,,225,,,
TU803,Electronic Engineering,,,243,243,,
TU806,Sustainable Energy Engineering,,,262,,,
TU808,Engineering Software,,,260,260,,
TU809,Mechanical Engineering,,,235,,,
TU813,Automation Engineering,,,218,218,,
TU873,Industrial Mathematics,,,250,250,,
TU901,Business,,,270,,,
TU908,Management,,,262,253,,
TU909,Accounting and Finance,,,285,,,
TU911,Accounting and Finance,,,209,192,,
TU913,Business and Information Technology,,,252,,,
TU915,International Business,,,252,,,
TU916,International Business,,,235,235,,
TU923,Marketing Management,,,228,276,,
TU966,Languages and English Studies,,,366,,,
TU971,Contemporary Visual Culture,,,290,,,
TU972,Creative and Cultural Industries,,,281,,,
TU986,Print Media Technology and Management,,,289,,,
TU993,Early Childhood Care and Education,,,270,,,
TU994,Early Childhood Care and Education,,,321,251,,
WD003,Business,,,,171,,
WD010,Electronic Engineering,,,181,,,
WD011,Mechanical Engineering,,,198,,,
WD013,Legal Studies,,,177,,,
WD018,Applied Social Care,,,171,,,
WD019,Recreation and Sport Management,,,174,,,
WD076,Forestry,,,243,,,
WD094,Architectural Technology,,,166,150,,
WD096,Horticulture (Waterford - Kildalton),,,260,,,
WD097,Horticulture (Dublin - National Botanic Gardens),,,,,,
WD126,Agriculture,,,327,,,
WD139,Civil Engineering,,,206,,,
WD149,Early Childhood Studies,,,271,,288,336
WD151,Software Systems Development,,,,,,
WD153,Multimedia Applications Development,,,163,,,
WD155,Information Technology,,,211,,,
WD159,Business,,,195,,,
WD164,Food Science with Business,,,309,,,
WD172,Culinary Arts,,,,,,
WD173,Hospitality Studies,,,,,,
WD174,Tourism,,,,,,
WD175,Pharmaceutical Science,,,226,,,
WD177,"Science (Mol. Biology with Biopharm.,Food Science with Business,Pharm.)",,,222,,,
WD182,Electrical Engineering,,,,,,
WD184,Retail Management,,,163,,,
WD188,Applied Health Care,,,201,,,
WD205,Molecular Biology with Biopharmaceutical Science,,,228,,,
WD206,Electronic Engineering,,,179,,,
WD207,Mechanical Engineering,,,198,,,
WD208,Manufacturing Engineering,,,188,,,
AL853,Accounting and Law,,,,,305,320
CW178,Sport Science (options),,,,,399,424
CK116,Sports Studies and Physical Education,,,,,499,520
CK502,Food Marketing and Entrepreneurship,,,,,433,456
CK506,International Development and Food Policy,,,,,367,410
DC005,Education - Primary Teaching - Irish Sign Language,,,,,316,316
DC167,Physics with Astronomy,,,,,434,477
DC171,Applied Physics,,,,,402,433
DC173,Physics with Biomedical Sciences,,,,,402,458
DT001,Product Design,,,,,433,464
DT028,Transport Operations and Technology,,,,,279,348
DT035,Electrical Services and Energy Management,,,,,293,340
DT066,Engineering (General Entry),,,,,400,457
DT101,Architecture (test and interview),,,,,618,647
DT106,Planning and Environmental Management,,,,,312,337
DT110,Property Economics (Valuation Surveying),,,,,367,424
DT111,Quantity Surveying and Construction Economics,,,,,391,421
DT112,Geographic Science,,,,,287,335
DT117,Construction Management,,,,,356,373
DT175,Architectural Technology,,,,,388,425
DT201,Science (General Entry),,,,,464,477
DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),,,,,341,403
DT204,Biomedical Science,,,,,501,512
DT205,Mathematical Sciences,,,,,315,363
DT206,Biomedical and Molecular Diagnostics,,,,,473,487
DT211,Computer Science (Infrastructure),,,,,381,414
DT220,Industrial Mathematics,,,,,300,317
DT221,Physics with Energy and Environment,,,,,348,436
DT222,Physics Technology,,,,,321,371
DT223,Human Nutrition and Dietetics,,,,,553,566
DT224,Optometry,,,,,487,529
DT225,Public Health Nutrition,,,,,440,476
DT227,Science with Nanotechnology,,,,,312,361
DT228,Computer Science,,,,,451,466
DT229,Clinical Measurement Science,,,,,491,509
DT235,Physics with Medical Physics and Bioengineering,,,,,357,403
DT282,Computer Science (International),,,,,377,402
DT299,Chemical Sciences with Medicinal Chemistry,,,,,420,445
DT302,Business Analytics,,,,,325,403
DT304,E-Commerce in Retailing,,,,,341,388
DT321,Business and Law,,,,,462,478
DT341,Marketing,,,,,400,419
DT343,Retail and Services Management,,,,,301,332
DT354,Business Computing,,,,,322,341
DT358,Logistics and Supply Chain Management,,,,,300,359
DT365,Business and Management,,,,,440,456
DT366,Accounting and Finance,,,,,432,454
DT398,Human Resource Management,,,,,375,388
DT399,Economics and Finance,,,,,437,465
DT401,International Hospitality Management,,,,,300,337
DT405,Culinary Science,,,,,308,377
DT407,Culinary Arts,,,,,271,342
DT412,Tourism Marketing,,,,,284,322
DT413,Event Management,,,,,356,389
DT416,Culinary Entrepreneurship,,,,,275,339
DT420,Nutraceuticals in Health and Nutrition,,,,,392,432
DT421,Food Innovation,,,,,321,366
DT422,Pharmaceutical Healthcare,,,,,397,423
DT491,Environmental Health,,,,,343,380
DT501,Music,,,,,383,520
DT504,Film and Broadcasting,,,,,443,467
DT506,Commercial Modern Music,,,,,468,835
DT508,Game Design,,,,,403,454
DT517,Languages and English Studies,,,,,326,419
DT518,Languages and International Tourism,,,,,307,357
DT529,Drama (Performance),,,,,371,519
DT532,Law (LL.B.),,,,,422,441
DT533,Contemporary Visual Culture,,,,,,
DT544,Interior Design,,,,,552,866
DT545,Design - Visual Communication,,,,,667,897
DT546,Fine Art,,,,,668,813
DT555,International Business and Languages,,,,,353,399
DT559,Photography,,,,,700,926
DT571,Social Care,,,,,394,424
DT572,Early Childhood Education,,,,,385,403
DT582,Journalism,,,,,347,373
DT596,Print Media Technology and Management,,,,,252,311
DT597,Creative and Cultural Industries,,,,,280,369
DL835,Creative Media Technologies,,,,,237,289
GC405,International Hospitality Management (Dublin),,,,,254,272
ID003,Business Studies with Chinese,,,,,, 
BN101,Business,,,,,252,289
BN103,Business and Information Technology,,,,,254,290
BN104,Computing (Information Technology),,,,,260,293
BN107,Applied Social Studies in Social Care,,,,,300,328
BN108,Engineering (Common Entry with Award options),,,,,271,318
BN109,Business (Common Entry with Award options),,,,,260,279
BN110,International Business,,,,,253,308
BN111,Sports Management and Coaching,,,,,270,298
BN112,Creative Digital Media,,,,,280,329
BN113,Horticulture,,,,,289,321
BN114,Accounting and Finance,,,,,280,332
BN115,Community and Youth Development,,,,,250,298
BN117,Computer Engineering in Mobile Systems,,,,,273,311
BN118,Early Childhood Care and Education,,,,,290,320
BN119,Digital Marketing,,,,,270,308
BN120,Digital Forensics and Cyber Security,,,,,281,326
BN121,Mechatronic Engineering,,,,,276,340
BN123,"Design,Technology and Innovation",,,,,297,318 
TA022,Creative Digital Media,,,,,260,318
TA023,Advertising and Marketing Communications,,,,,235,299
TA024,Early Childhood Care and Education,,,,,217,307
TA025,Social Care Practice,,,,,261,297
TA026,International Hospitality and Tourism Management,,,,,208,269
TA027,Botanical Cuisine,,,,,236,273
TA028,Digital Marketing Technologies,,,,,220,313
TA121,Accounting and Finance,,,,,202,328
TA122,Management,,,,,218,297
TA123,Marketing Management,,,,,207,284
TA125,International Business,,,,,229,300
TA221,Electronic Engineering,,,,,251,321
TA222,Mechanical Engineering,,,,,243,302
TA223,Sustainable Energy Engineering,,,,,236,305
TA224,Biomedical Design,,,,,218,324
TA225,Automation Engineering,,,,,235,288
TA226,Engineering Software,,,,,243,304
TA321,Pharmaceutical Science,,,,,261,298
TA322,Computing,,,,,200,294
TA323,Computing with IT Management,,,,,243,309
TA326,DNA and Forensic Analysis,,,,,300,362
TA327,Sports Science and Health,,,,,341,381
TA328,Computing with Language (French/German/Spanish),,,,,218,317
TA329,Computing with Data Analytics,,,,,218,296 
NC025,Data Science,,,,,297,371
GA385,Retail Management,,,,,219,319
LY218,Business - with Spanish/Irish options,,,,,298,367
CI101,Counselling and Psychotherapy (Limerick),,,,,276,328
LC411,Marketing and Management (Thurles),,,,,226,300
SG149,Business in Finance and Investment,,,,,262,357
SG441,Environmental Science,,,,,297,358
SG446,Applied Archaeology,,,,,289,290
TL803,Music Technology,,,,,264,288
TL812,Computing with Digital Media,,,,,369,369
WD148,Tourism Marketing,,,,,269,338
