,COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,Test/Interview #
1091,Early and Modern Irish,TR022,398,,,,398,,451,
1092,English Studies,TR023,487,,476,,474,,511,
1093,European Studies,TR024,544,,542,,530,,566,
1094,Drama and Theatre Studies,TR025,564,,530,,530,,581,#
1095,Ancient and Medieval History and Culture,TR028,342,,,,342,,453,
1096,Political Science and Geography,TR029,526,,520,,510,,533,
1097,Mathematics,TR031,531,,,,531,,589,
1098,Engineering,TR032,510,,509,*,508,,533,
1099,Computer Science,TR033,509,,,,509,,545,
1100,Management Science and Information Systems Studies,TR034,613,*,,,613,*,625,
1101,Theoretical Physics,TR035,543,,,,543,,601,
1102,Engineering with Management,TR038,532,,,,532,,556,
1103,Computer Science and Language,TR039,454,,424,,424,,488,
1104,Middle Eastern and European Languages and Cultures,TR040,466,,,,466,,521,
1105,Religion,TR041,368,,,,368,,418,
1106,Film,TR042,489,,476,,466,,498,
1107,History of Art and Architecture,TR043,393,,354,,354,,474,
1108,Medicine (HPAT required),TR051,735,*,734,*,734,,745,#
1109,Dental Science,TR052,613,*,613,*,613,*,625,
1110,Physiotherapy,TR053,566,*,566,*,566,*,567,
1111,Occupational Therapy,TR054,533,,,,533,,554,
1112,Radiation Therapy,TR055,543,,,,543,,554,
1113,Human Health and Disease,TR056,565,,,,564,,578,
1114,Biological and Biomedical Sciences,TR060,543,*,543,,543,,566,
1115,Chemical Sciences,TR061,517,,510,,510,,532,
1116,Geography and Geoscience,TR062,473,,,,473,,499,
1117,Physical Sciences,TR063,498,*,498,,477,*,531,
1118,Pharmacy,TR072,590,,,,590,,613,
1119,Global Business,TR080,589,*,,,589,*,601,
1120,"Business, Economic and Social Studies (BESS)",TR081,543,*,543,*,543,*,565,
1121,Computer Science and Business,TR082,555,,,,555,,578,
1122,Sociology and Social Policy,TR083,498,,487,,478,,513,
1123,Social Studies (Social Work),TR084,462,*,,,462,*,495,
1124,Business Studies and French,TR085,540,,531,,521,*,543,
1125,Business Studies and German,TR086,509,,499,*,499,,518,
1126,Business Studies and Russian,TR087,474,,465,,456,*,488,
1127,Business Studies and Polish,TR089,444,,424,,424,,468,
1128,Business Studies and Spanish,TR090,531,*,,,531,*,542,
1129,General Nursing (Meath and St James`s),TR091,429,,,,429,,455,
1130,General Nursing (Adelaide School of Nursing),TR093,430,,429,,414,,441,#
1131,Mental Health Nursing,TR095,408,,,,408,,430,
1132,Intellectual Disability Nursing,TR097,396,,,,378,,398,
1133,Ancient History and Archaeology/Geography,TR111,352,,,,352,,429,
1134,Ancient History and Archaeology/History,TR112,529,,,,529,,,
1135,Ancient History and Archaeology/History of Art and Architecture,TR113,337,,,,337,,477,
1136,Ancient History and Archaeology/Modern Language,TR114,337,,,,337,,420,
1137,Ancient History and Archaeology/Religion,TR117,342,,,,342,,368,
1138,Classical Civilisation/English Literature,TR166,498,*,496,,496,,523,
1139,Classical Civilisation/History of Art and Architecture,TR173,335,,,,335,,466,
1140,Classical Civilisation/Modern Language,TR177,335,,,,335,,536,
1141,Classical Civilisation/Philosophy,TR179,499,,,,479,,518,
1142,Economics/Geography,TR198,534,,,,534,,552,
1143,Economics/History,TR202,534,,,,534,,566,
1144,Economics/Mathematics,TR207,566,*,,,566,*,601,
1145,Economics/Modern Language,TR208,534,,,,534,,578,
1146,Economics/Philosophy,TR209,534,,,,534,,576,
1147,Economics/Sociology,TR212,534,,,,534,,541,
1148,Classical Languages/English Literature,TR228,498,*,,,498,*,533,
1149,Classical Languages/History of Art and Architecture,TR231,349,,,,349,,444,
1150,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",TR233,349,,,,349,,566,
1151,Classical Languages/Modern Language,TR239,349,,,,349,,349,
1152,English Literature/History,TR262,529,,,,529,,552,
1153,English Literature/History of Art and Architecture,TR263,498,*,497,,497,,533,
1154,English Literature/Philosophy,TR269,499,,,,495,,532,
1155,English Literature/Sociology,TR272,498,*,,,498,*,519,
1156,English Literature/Drama Studies,TR276,#498,,,,#476,,530,#
1157,English Literature/Modern Language,TR277,498,*,495,,489,*,543,
1158,Film/Drama Studies,TR311,#521,*,,,#521,*,557,#
1159,Film/English Literature,TR312,521,*,,,521,*,541,
1160,Film/Music,TR320,521,*,,,521,*,555,#
1161,Geography/History,TR322,529,,,,529,,555,
1162,Drama Studies/Modern Language,TR323,#473,,,,#473,,551,#
1163,Film/Modern Language,TR324,521,*,,,521,*,544,
1164,Film/History,TR325,529,,,,529,,625,
1165,Geography/Modern Language,TR326,352,,,,352,,440,
1166,Geography/Sociology,TR332,498,*,496,,496,,520,
1167,History/History of Art and Architecture,TR443,529,,,,529,,532,
1168,History/Modern Language,TR447,529,,,,529,,554,
1169,History/Philosophy,TR449,529,,,,529,,543,
1170,History/Sociology,TR452,529,,,,529,,534,
1171,History/Religion,TR454,529,,,,529,,534,
1172,History of Art and Architecture/Modern Language,TR455,334,,,,334,,454,
1173,History of Art and Architecture/Philosophy,TR479,499,,,,485,,555,
1174,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",TR547,337,,,,337,,473,
1175,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",TR548,335,,,,335,,543,
1176,"Middle Eastern,Jewish and Islamic Civilisations/History",TR554,529,,,,529,,555,
1177,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",TR563,335,,,,335,,451,
1178,"Middle Eastern,Jewish and Islamic Civilisations/Music",TR564,,,,,,,,#
1179,"Middle Eastern,Jewish and Islamic Civilisations/Religion",TR565,342,,,,342,,,
1180,Mathematics/Modern Language,TR597,566,*,,,566,*,625,
1181,Mathematics/Music,TR598,566,*,,,566,*,,#
1182,Mathematics/Philosophy,TR599,566,*,,,566,*,589,
1183,Music/Philosophy,TR629,499,,,,499,,,#
1184,Music/Drama Studies,TR635,#473,,,,#473,,487,#
1185,Music/Modern Language,TR636,388,,,,388,,455,#
1186,Music/Religion,TR638,388,,,,388,,440,#
1187,Philosophy/Modern Language,TR639,499,,,,499,,613,
1188,Philosophy/Sociology,TR662,499,,,,499,,531,
1189,Religion/Classical Civilisation,TR663,342,,,,342,,591,
1190,Religion/English Literature,TR664,498,*,,,498,*,565,
1191,Religion/History of Art and Architecture,TR665,342,,,,342,,452,
1192,Religion/Modern Language,TR666,,,,,,,,
1193,French/Modern Language,TR667,403,,,,403,,478,
1194,German/Modern Language,TR668,389,,,,389,,465,
1195,Irish/Modern Language,TR669,368,,,,368,,473,
1196,Italian/Modern Language,TR670,381,,,,381,,466,
1197,Russian/Modern Language,TR671,332,,,,332,,494,
1198,Spanish/Modern Language,TR672,336,,,,336,,488,
1199,Sociology/Drama Studies,TR755,#498,,,,#498,,543,#
1200,Sociology/Modern Language,TR756,498,,495,,495,,510,
1201,Dental Nursing,TR801,436,,419,,367,,455,
1202,Dental Hygiene,TR802,#543,,#511,,#498,,532,#
1203,Dental Technology,TR803,#531,,#486,,#359,,456,#
1204,Children`s and General Nursing (Integrated),TR911,511,,510,,499,*,521,
1205,Midwifery,TR913,478,,477,*,473,*,508,
1206,Electronic Engineering,TU601,232,,,,230,,326,
1207,Computer Engineering,TU602,223,,,,223,,330,
1208,Mechanical Engineering,TU603,197,,197,,197,,299,
1209,Bar and Restaurant Management,TU641,223,,,,223,,356,
1210,Culinary Arts,TU642,153,,,,153,,244,
1211,Culinary Arts (Professional Cookery Practice),TU643,236,,,,236,,383,
1212,Food Management and Entrepreneurship,TU644,223,,,,223,,456,
1213,Food Science and Management,TU645,241,,,,243,,390,
1214,Applied Biology,TU651,205,,196,,196,,359,
1215,Computing,TU652,194,,,,194,,265,
1216,Computing (Information Technology),TU653,245,,,,245,,357,
1217,Pharmacy Technician Studies,TU654,321,,,,321,,420,
1218,Computing (Networking Technologies) Learn and Work,TU655,410,,335,,335,,459,#
1219,Business,TU671,226,,,,228,,403,
1220,Business (Common entry),TU672,180,,179,,179,,274,
1221,Business Management,TU673,300,,,,300,,451,
1222,Business Studies,TU674,300,,,,306,,451,
1223,Marketing,TU675,301,,,,301,,412,
1224,Retail Management and Marketing,TU676,290,,,,290,,377,
1225,Automation Engineering,TU701,260,,,,261,,368,
1226,Biomedical Design,TU702,232,,232,,232,,351,
1227,Building Engineering,TU703,260,,,,260,,359,
1228,Civil Engineering,TU704,262,,,,262,,361,
1229,Electrical and Control Engineering,TU705,243,,,,243,,339,
1230,Electrical Services Engineering,TU706,244,,,,244,,307,
1231,Electronic Engineering,TU707,224,,224,,224,,361,
1232,Engineering (Common Entry with Award options),TU708,225,,,,225,,360,
1233,Engineering (General Entry),TU709,370,,,,370,,487,
1234,Engineering Reliability Management,TU710,244,,,,244,,305,
1235,Mechatronic Engineering,TU711,223,,,,223,,372,
1236,Sustainable Energy and Environmental Engineering,TU712,180,,180,,180,,332,
1237,Computer Engineering,TU713,221,,,,221,,322,
1238,Electronics and Communications Engineering,TU714,264,,,,264,,392,
1239,Engineering Software,TU715,181,,181,,181,,391,
1240,Networking Technology,TU716,241,,,,241,,386,
1241,Mechanical Engineering,TU717,300,,,,300,,367,
1242,Mechanical Engineering,TU718,198,,198,,198,,338,
1243,"Design,Technology and Innovation",TU719,228,,,,228,,363,
1244,Automotive Management and Technology,TU720,232,,,,232,,338,
1245,Aviation Technology,TU721,350,,,,352,,434,
1246,Process Instrumentation and Automation Learn and Work,TU722,292,,292,,401,,499,#
1247,"Auctioneering, Valuation and Estate Agency",TU731,290,,,,290,,372,
1248,Timber Product Technology,TU732,253,,198,,198,,372,
1249,Sports Management and Coaching,TU735,270,,,,270,,347,
1250,Sports Science and Health,TU736,410,,391,,391,,455,
1251,Baking and Pastry Arts Management,TU741,234,,,,238,,412,
1252,Culinary Arts,TU742,155,,155,,155,,319,
1253,Hospitality Management,TU745,245,,,,245,,357,
1254,International Hospitality and Tourism Management,TU746,170,,170,,170,,313,
1255,Tourism Management,TU747,242,,,,242,,369,
1256,Biosciences,TU751,407,,,,407,,509,
1257,DNA and Forensic Analysis,TU752,390,,,,390,,465,
1258,Industrial and Environmental Physics,TU754,270,,,,270,,487,
1259,Science (General Entry),TU755,361,,,,361,,498,
1260,Computing,TU756,200,,195,,195,,357,
1261,Computing (Information Technology),TU757,225,,,,225,,352,
1262,Digital Forensics and Cyber Security,TU758,220,,,,220,,337,
1263,Information Technology Management,TU759,211,,,,211,,330,
1264,Bioanalysis,TU760,204,,204,,204,,327,
1265,Ophthalmic Dispensing,TU761,302,,,,319,,434,
1266,Medicinal Chemistry and Pharmaceutical Sciences,TU762,364,,,,364,,510,
1267,Pharmaceutical Science,TU763,382,,349,,349,,429,
1268,Business,TU771,224,,,,224,,392,
1269,Business (Common Entry with Award options),TU772,AQA,,227,,AQA,,317,
1270,Management,TU774,195,,209,,195,,327,
1271,Accounting and Finance,TU775,260,,,,260,,465,
1272,Accounting and Finance,TU776,182,,175,,175,,337,
1273,Business and Information Technology,TU777,244,,,,244,,352,
1274,International Business,TU778,224,,,,226,,423,
1275,International Business,TU779,180,,180,,180,,368,
1276,Advertising and Marketing Communications,TU780,179,,179,,179,,366,
1277,Digital Marketing,TU781,220,,,,220,,326,
1278,Digital Marketing,TU782,179,,179,,179,,287,
1279,Marketing,TU783,189,,189,,189,,360,
1280,Applied Social Studies in Social Care,TU791,320,,,,320,,378,
1281,Community and Youth Development,TU792,101,,250,,101,,288,
1282,Early Childhood Care and Education,TU793,220,,,,220,,386,
1283,Early Childhood Care and Education,TU794,390,,250,,230,,376,
1284,Visual Merchandising and Display,TU795,481,,,,481,,763,#
1285,Creative Digital Media,TU796,225,,,,225,,383,
1286,Biomedical Design,TU801,235,,,,235,,381,
1287,Electrical Services and Energy Management,TU802,317,,300,,300,,352,
1288,Electronic Engineering,TU803,243,,243,,243,,337,
1289,Engineering (Common Entry with Award options),TU804,271,,,,271,,338,
1290,Engineering (General Entry),TU805,402,,,,402,,466,
1291,Sustainable Energy Engineering,TU806,262,,,,262,,318,
1292,Computer Engineering in Mobile Systems,TU807,276,,,,276,,305,
1293,Engineering Software,TU808,260,,260,,260,,339,
1294,Mechanical Engineering,TU809,235,,,,235,,347,
1295,Mechatronic Engineering,TU810,270,,,,271,,312,
1296,Product Design,TU811,411,,,,411,,444,
1297,"Design,Technology and Innovation",TU812,270,,,,270,,350,
1298,Automation Engineering,TU813,218,,218,,218,,339,
1299,Transport Operations and Technology,TU814,285,,251,,251,,372,
1300,Architectural Technology,TU831,410,,,,410,,444,
1301,Architecture (Suitability Test and Interview),TU832,622,,,,622,,658,#
1302,Construction Management,TU833,367,,,,367,,404,
1303,Geographic Science,TU834,288,,,,288,,357,
1304,Planning and Environmental Management,TU835,313,,,,313,,349,
1305,Property Economics (Valuation Surveying),TU836,401,,,,401,,433,
1306,Quantity Surveying and Construction Economics,TU837,385,,,,385,,418,
1307,Analytical Chemistry (Environmental Forensic and Pharmaceutical),TU851,349,,,,349,,419,
1308,Chemical Sciences with Medicinal Chemistry,TU852,476,,,,476,,498,
1309,Science (General Entry),TU854,476,,,,476,,495,
1310,Science with Nanotechnology,TU855,331,,319,,319,,368,
1311,Computer Science,TU856,476,,,,476,,487,
1312,Computer Science (Infrastructure),TU857,391,,,,391,,419,
1313,Computer Science (International),TU858,377,,,,377,,424,
1314,Computing,TU859,217,,234,,217,,308,
1315,Computing (Information Technology),TU860,260,,,,260,,329,
1316,Computing with Language (French/German/Spanish),TU861,308,,308,,308,,348,
1317,Computing with Data Analytics,TU862,226,,226,,226,,288,
1318,Digital Forensics and Cyber Security,TU863,280,,,,280,,338,
1319,DNA and Forensic Analysis,TU864,400,,390,,390,,429,
1320,Computing with IT Management,TU865,226,,,,226,,331,
1321,Biomedical and Molecular Diagnostics,TU866,487,,,,487,,498,
1322,Biomedical Science,TU867,524,,,,524,,542,
1323,Clinical Measurement Science,TU868,510,,,,510,,520,
1324,Environmental Health,TU869,336,,,,336,,375,
1325,Human Nutrition and Dietetics,TU870,578,,,,578,,589,
1326,Optometry,TU871,509,,,,509,,530,
1327,Public Health Nutrition,TU872,491,,,,491,,512,
1328,Industrial Mathematics,TU873,250,,250,,250,,392,
1329,Mathematical Sciences,TU874,341,,,,343,,407,
1330,Pharmaceutical Healthcare,TU875,400,,,,400,,440,
1331,Pharmaceutical Science,TU876,377,,349,,349,,391,
1332,Physics Technology,TU877,308,,,,308,,373,
1333,Physics with Energy and Environment,TU878,337,,337,,331,,444,
1334,Physics with Medical Physics and Bioengineering,TU879,351,,,,351,,403,
1335,Physics with Data Science,TU880,578,,,,,,,
1336,Food Innovation,TU881,318,,,,318,,389,
1337,Nutraceuticals in Health and Nutrition,TU882,397,,,,397,,442,
1338,Business,TU901,270,,,,270,,307,
1339,Business (Common Entry with Award options),TU902,271,,,,271,,359,
1340,Business and Management,TU903,463,,,,463,,485,
1341,Business and Law,TU904,462,,,,462,,487,
1342,Economics and Finance,TU905,465,,,,465,,488,
1343,Human Resource Management,TU906,395,,,,395,,414,
1344,Logistics and Supply Chain Management,TU907,300,,,,300,,387,
1345,Management,TU908,262,,253,,253,,337,
1346,Accounting and Finance,TU909,285,,,,285,,326,
1347,Accounting and Finance,TU910,444,,,,444,,466,
1348,Accounting and Finance,TU911,209,,192,,192,,319,
1349,Business Analytics,TU912,330,,,,330,,366,
1350,Business and Information Technology,TU913,252,,,,252,,299,
1351,Business Computing,TU914,324,,,,324,,366,
1352,International Business,TU915,252,,,,252,,302,
1353,International Business,TU916,235,,235,,235,,337,
1354,Law (LLB ) with a Language,TU917,342,,,,342,,433,
1355,Law (LLB),TU918,451,,,,451,,478,
1356,Advertising and Marketing Communications,TU919,228,,226,,226,,311,
1357,Digital Marketing,TU920,270,,,,270,,318,
1358,Digital Marketing Technologies,TU921,212,,212,,234,,300,
1359,Marketing,TU922,418,,,,418,,443,
1360,Marketing Management,TU923,228,,276,,228,,318,
1361,E-Commerce in Retailing,TU924,307,,,,307,,380,
1362,Retail and Services Management,TU925,301,,,,301,,362,
1363,Sports Management and Coaching,TU935,300,,,,300,,347,
1364,Sports Science and Health,TU936,410,,391,,391,,419,
1365,Botanical Cuisine,TU941,249,,,,249,,257,
1366,Culinary Arts,TU942,212,,212,,212,,340,
1367,Culinary Entrepreneurship,TU943,278,,,,279,,357,
1368,Culinary Science,TU944,316,,,,316,,379,
1369,International Hospitality and Tourism Management,TU951,184,,184,,200,,298,
1370,International Hospitality Management,TU952,300,,,,306,,368,
1371,Tourism and Digital Marketing,TU953,290,,,,290,,359,
1372,Event Management,TU954,356,,,,356,,404,
1373,Sports & Leisure Management,TU955,217,,317,,217,,347,
1374,Commercial Modern Music,TU961,608,,608,,608,,848,#
1375,Drama (Performance),TU962,379,,,,379,,500,#
1376,Music,TU963,416,,,,416,,535,#
1377,International Business and Languages,TU965,356,,346,,346,,413,
1378,Languages and English Studies,TU966,366,,,,434,,466,
1379,Languages and International Tourism,TU967,308,,,,326,,388,
1380,Contemporary Visual Culture,TU971,290,,,,290,,320,
1381,Creative and Cultural Industries,TU972,281,,,,281,,369,
1382,Design - Visual Communication,TU973,717,,,,717,,865,#
1383,Fine Art,TU974,709,,563,,563,,826,#
1384,Interior Design,TU975,632,,,,632,,879,#
1385,Photography,TU976,695,,,,695,,926,#
1386,Creative Digital Media,TU981,280,,,,282,,318,
1387,Creative Digital Media,TU982,320,,311,,311,,352,
1388,Film and Broadcasting,TU983,456,,451,,451,,484,
1389,Game Design,TU984,381,,,,381,,419,
1390,Journalism,TU985,322,,,,322,,377,
1391,Print Media Technology and Management,TU986,289,,,,289,,300,
1392,Applied Social Studies in Social Care,TU991,325,,,,325,,352,
1393,Community and Youth Development,TU992,251,,,,253,,297,
1394,Early Childhood Care and Education,TU993,270,,,,270,,311,
1395,Early Childhood Care and Education,TU994,321,,251,,230,,304,
1396,Early Childhood Education,TU995,367,,,,367,,409,
1397,Social Care,TU996,400,,,,400,,419,
1398,Applied Social Care,TU997,310,,283,,270,,318,
1399,Applied Computing (options),WD001,260,,260,,260,,413,
1400,Science (options),WD002,308,,,,308,,388,
1401,Business,WD003,AQA,,171,,AQA,,372,
1402,Health Sciences (options),WD005,280,,,,280,,338,
1403,Exercise Sciences (options),WD006,280,,,,280,,359,
1404,Engineering (options),WD007,288,,288,,288,,409,
1405,Electronic Engineering,WD010,181,,,,181,,318,
1406,Mechanical Engineering,WD011,198,,,,198,,341,
1407,Legal Studies,WD013,177,,,,177,,367,
1408,Applied Social Care,WD018,171,,,,171,,293,
1409,Recreation and Sport Management,WD019,174,,,,174,,309,
1410,Construction Management and Engineering,WD025,269,,,,269,,341,
1411,Music,WD027,262,,,,262,,409,#
1412,Business (options),WD048,271,,,,271,,371,
1413,Forestry,WD076,243,,,,243,,326,
1414,Accounting,WD084,308,,,,308,,411,
1415,Hospitality Management,WD091,228,,,,228,,310,
1416,Architectural Technology,WD094,166,,150,,150,,351,
1417,Horticulture (Waterford - Kildalton),WD096,260,,,,260,,389,
1418,Horticulture (Dublin - National Botanic Gardens),WD097,AQA,,,,AQA,,408,
1419,General Nursing,WD116,422,,,,422,,451,
1420,Psychiatric Nursing,WD117,366,,,,366,,388,
1421,Intellectual Disability Nursing,WD120,377,,,,377,,388,
1422,Agriculture,WD126,327,,,,327,,430,
1423,International Business,WD134,290,,,,290,,362,
1424,Design (Visual Communications),WD137,271,,,,271,,351,
1425,Civil Engineering,WD139,206,,,,206,,379,
1426,Laws,WD140,280,,,,280,,367,
1427,Architecture,WD144,284,,,,284,,359,
1428,Pharmaceutical Science,WD147,293,,,,293,,390,
1429,Early Childhood Studies,WD149,271,,,,271,,368,
1430,Criminal Justice Studies,WD150,270,,,,270,,331,
1431,Software Systems Development,WD151,AQA,,AQA,,AQA,,356,
1432,Visual Art,WD152,AQA,,,,AQA,,317,
1433,Multimedia Applications Development,WD153,163,,,,163,,353,
1434,Information Technology,WD155,211,,,,211,,338,
1435,Business,WD159,195,,,,195,,388,
1436,Computer Forensics and Security,WD161,255,,,,255,,380,
1437,Quantity Surveying,WD162,216,,,,216,,306,
1438,Psychology,WD163,434,,,,434,,473,
1439,Food Science with Business,WD164,309,,,,309,,440,
1440,Culinary Arts,WD172,AQA,,AQA,,AQA,,301,
1441,Hospitality Studies,WD173,AQA,,,,AQA,,310,
1442,Tourism,WD174,AQA,,,,AQA,,226,
1443,Pharmaceutical Science,WD175,226,,,,226,,392,
1444,"Science (Mol. Biology with Biopharm.,Food Science with Business,Pharm.)",WD177,222,,,,222,,473,
1445,Electrical Engineering,WD182,AQA,,,,AQA,,302,
1446,Retail Management,WD184,163,,,,163,,346,
1447,Sports Coaching and Performance,WD186,270,,,,270,,344,
1448,Social Science,WD187,272,,,,272,,348,
1449,Applied Health Care,WD188,201,,,,201,,349,
1450,Agricultural Science,WD191,377,,,,377,,420,
1451,Social Care Practice,WD192,270,,,,270,,326,
1452,Marketing and Digital Media,WD193,271,,,,271,,347,
1453,Culinary Arts,WD194,217,,,,217,,321,
1454,Architectural and Building Information Modelling Technology,WD195,279,,,,279,,367,
1455,Arts (options),WD200,AQA,,AQA,,AQA,,336,
1456,Molecular Biology with Biopharmaceutical Science,WD205,228,,,,228,,446,
1457,Electronic Engineering,WD206,179,,,,179,,373,
1458,Mechanical Engineering,WD207,198,,,,198,,365,
1459,Manufacturing Engineering,WD208,188,,,,188,,339,
1460,Software Systems Development,WD210,279,,,,279,,337,
1461,Creative Computing,WD211,271,,,,271,,318,
1462,Recreation and Sport Management,WD212,270,,,,270,,349,
1463,Mechanical and Manufacturing Engineering,WD230,253,,,,253,,369,
